request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 15656000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_27,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 6670.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_28,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 1302.40 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_29,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 51524.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_30,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 775.20 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_31,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 18164000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_32,0.00,not_affordable,not_recommended,none,none,none,The requested expense of ZAR 40018.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_33,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 118000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_34,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 129400.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_35,0.00,not_affordable,not_recommended,none,none,none,The requested expense of INR 212000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_36,0.00,not_affordable,not_recommended,none,none,none,The requested expense of USD 3954.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_37,0.00,not_affordable,not_recommended,none,none,none,The requested expense of IDR 14649000.00 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
request_38,0.00,not_affordable,not_recommended,none,none,none,The requested expense of EUR 971.30 is not recommended as it would breach the required minimum balance floor within the 90-day forecast.
